Fender Stratocaster Electric Guitar	The Fender Stratocaster is a versatile electric guitar with a classic sound.	catalog-product-0.png	электро
Gibson Les Paul Standard	The Gibson Les Paul Standard is a legendary electric guitar known for its rich tone.	catalog-product-1.png	электро
Taylor 814ce Acoustic Guitar	The Taylor 814ce is a high-end acoustic guitar with exceptional playability and tone.	catalog-product-2.png	аккустика
Martin D-28 Acoustic Guitar	The Martin D-28 is a renowned acoustic guitar favored by professional musicians.	catalog-product-3.png	аккустика
Cordoba 15CM Concert Ukulele	The Cordoba 15CM is a concert ukulele made from quality mahogany wood.	catalog-product-4.png	укулеле
Ibanez RG550 Electric Guitar	The Ibanez RG550 is a high-performance electric guitar designed for shredding.	catalog-product-5.png	электро
Gretsch G2622 Streamliner Center Block	The Gretsch G2622 Streamliner Center Block is a stylish semi-hollow body guitar.	catalog-product-6.png	электро
Yamaha FG800 Acoustic Guitar	The Yamaha FG800 is a popular acoustic guitar with a solid spruce top.	catalog-product-7.png	аккустика
Epiphone Les Paul Standard PlusTop Pro	The Epiphone Les Paul Standard PlusTop Pro is a versatile electric guitar with a classic design.	catalog-product-8.png	электро
Kala KA-TEM Exotic Mahogany Tenor Ukulele	The Kala KA-TEM is a tenor ukulele made from exotic mahogany wood.	catalog-product-0.png	укулеле
